date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:26	6445/6445	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/coin-history.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/coin-history.service.js	(from http://barlows.co.nz/)
23:45:27	6707/6707	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/content.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/content.service.js	(from http://barlows.co.nz/)
23:45:27	6417/6417	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/country.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/country.service.js	(from http://barlows.co.nz/)
23:45:28	6506/6506	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/coupon.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/coupon.service.js	(from http://barlows.co.nz/)
23:45:29	6337/6337	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/currency.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/currency.service.js	(from http://barlows.co.nz/)
23:45:30	6796/6796	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/experience.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/experience.service.js	(from http://barlows.co.nz/)
23:45:30	6384/6384	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/faq.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/faq.service.js	(from http://barlows.co.nz/)
23:45:31	6473/6473	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/favorite.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/favorite.service.js	(from http://barlows.co.nz/)
23:45:31	6404/6404	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/feature-type.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/feature-type.service.js	(from http://barlows.co.nz/)
23:45:32	6570/6570	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/feedback.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/feedback.service.js	(from http://barlows.co.nz/)
23:45:33	6447/6447	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/feedback-type.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/feedback-type.service.js	(from http://barlows.co.nz/)
23:45:33	6528/6528	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2010:09:28%20GMT	http://barlows.co.nz/js/app/services/footer.service.js	D:/My%20Web%20Sites/barlows.co.nz/barlows.co.nz/js/app/services/footer.service.js	(from http://barlows.co.nz/)
